Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
335000.0;49.0;2;0;6;12;1980;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;10.9
470000.0;75.04;3;0;0;2;1930;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;3.2
568000.0;63.2;4;0;3;4;1990;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;12.1
465000.0;82.0;3;0;2;4;1935;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0.0
320000.0;48.0;2;0;1;4;1935;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0.0
405000.0;45.0;2;0;1;4;2010;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.2
280000.0;48.0;2;0;2;3;1935;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;9.9
610000.0;122.0;4;0;3;3;1900;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0.0
295000.0;40.0;2;0;11;11;1975;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;7.1
592816.0;52.93;3;1;2;3;2020;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.9
435000.0;54.6;2;0;0;4;1940;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0.0
533200.0;62.0;3;1;2;4;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.4
259924.5;26.7;1;1;4;4;2022;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0.7
350460.0;36.0;2;1;4;4;2022;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0.7
429000.0;40.91;2;0;1;8;2018;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.4
