Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
345000.0;27.0;1;0;7;10;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;12.8
652000.0;62.0;3;0;9;10;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;15.6
539000.0;45.0;3;0;1;1;1900;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;18.1
530000.0;64.22;3;0;0;1;2021;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;13.2
599000.0;53.0;2;0;1;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;14.5
699000.0;56.0;3;1;9;10;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.8
429000.0;38.0;2;0;3;4;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;15.0
599999.0;53.0;3;0;3;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;14.1
579000.0;54.0;3;0;3;4;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;14.9
399000.0;22.79;1;0;3;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.5
364000.0;29.0;2;0;3;3;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.8
499000.0;50.0;3;0;1;8;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;14.5
895000.0;70.1;3;0;9;17;2009;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.6
539000.0;43.66;2;0;3;16;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;20.7
320000.0;37.7;2;0;1;2;1940;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;21.3
560000.0;38.0;2;0;2;3;1930;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;21.5
410000.0;53.35;3;0;0;11;1973;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.7
990000.0;90.0;5;0;2;4;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;18.6
499000.0;37.7;2;0;2;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;8.3
441000.0;34.2;2;0;5;7;1973;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;15.6
599000.0;41.0;2;0;11;18;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;20.1
339000.0;31.9;1;0;3;4;2008;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;18.5
389000.0;60.0;3;0;3;4;1983;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;10.8
615000.0;39.7;2;0;1;5;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;21.6
615000.0;53.0;3;0;0;10;1976;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;9.9
422000.0;35.17;2;0;0;3;2017;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;9.4
699000.0;128.0;4;1;1;2;2022;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;9.8
749000.0;131.95;4;1;0;2;2022;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;9.8
590000.0;60.0;3;0;0;3;1950;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.9
989000.0;148.5;3;0;0;2;2000;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;10.1
385000.0;70.82;3;0;1;1;2021;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;25.9
360000.0;66.43;3;0;1;1;2021;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;25.9
481000.0;64.0;3;0;1;4;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;8.2
410000.0;55.35;3;0;0;11;1973;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.7
999000.0;72.08;4;0;4;4;2019;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;14.6
936250.0;74.9;3;0;1;5;2009;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.2
713000.0;45.0;2;0;3;3;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;10.0
455000.0;39.4;2;0;0;2;1905;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;17.6
559000.0;44.53;2;1;2;4;2020;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;9.8
780000.0;76.88;4;0;1;4;2013;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;10.4
349000.0;63.16;4;1;2;2;2021;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;29.7
600000.0;50.44;2;0;2;3;1900;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;18.2
869000.0;154.1;5;0;3;4;1995;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;11.1
515000.0;57.7;3;0;5;5;2012;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;25.4
589000.0;54.0;3;0;1;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;15.4
1990000.0;84.0;3;0;6;6;2017;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.4
799000.0;52.0;2;0;2;3;2018;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;14.6
347000.0;24.8;1;0;3;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;25.4
539000.0;46.91;3;0;6;10;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;9.0
749000.0;38.43;2;0;0;3;2014;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.9
801852.0;71.39;3;1;1;3;2022;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;4.5
1135500.0;75.7;4;1;3;3;2020;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.1
620000.0;59.0;2;0;1;5;1960;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.9
477117.5;68.65;3;1;4;5;2020;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;31.1
344838.0;44.21;2;1;0;5;2022;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;31.1
517142.0;83.41;4;1;2;5;2020;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;31.1
360000.0;27.0;1;0;3;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;13.9
475000.0;75.0;3;0;3;3;1930;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;16.8
459000.0;35.3;2;0;4;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4.1
899000.0;75.52;2;0;4;5;1928;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0
597000.0;42.09;2;0;3;4;1928;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1.2
515000.0;87.06;3;0;0;3;2008;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;31.6
980000.0;104.0;4;0;3;3;2012;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;9.0
1790000.0;155.0;4;1;2;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;10.0
790000.0;60.0;3;0;1;2;1930;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;13.5
859000.0;74.0;3;0;1;4;2001;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.5
719000.0;74.0;3;0;1;3;2014;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;10.4
590000.0;53.0;3;0;9;11;1989;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;9.9
1780000.0;81.0;4;0;2;3;2008;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;10.0
620000.0;62.0;3;0;1;9;1982;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;15.6
329000.0;26.0;1;0;2;4;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.7
460000.0;46.0;2;0;4;10;1972;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;14.6
1586000.0;100.0;4;1;2;3;2021;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.6
575000.0;54.0;4;0;1;11;1964;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;13.3
1298000.0;148.3;5;0;2;3;2007;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;20.5
