Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
840225.0;87.07;4;1;0;17;2023;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;12.1
530000.0;64.22;3;1;0;1;2022;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;10.8
626977.0;56.74;3;1;1;17;2023;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;12.1
780000.0;93.2;4;0;1;2;2008;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;12.7
465000.0;28.5;1;0;3;5;2020;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;12.5
1080000.0;73.81;3;0;1;2;1942;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;5.4
990000.0;73.67;3;0;4;5;2020;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.2
730000.0;54.2;3;0;0;4;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.8
495000.0;47.0;2;0;1;5;1958;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;12.1
539000.0;37.2;2;0;0;11;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2.2
795000.0;107.0;6;0;2;3;1895;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;8.9
1558000.0;70.64;3;0;11;18;2015;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.4
725630.0;48.7;2;0;1;2;1932;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;9.5
620000.0;59.0;2;0;1;5;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.1
527100.0;42.0;2;0;4;9;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.8
355000.0;40.6;2;0;2;10;1976;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;8.9
635000.0;44.66;2;0;0;3;1929;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;8.1
1149000.0;68.08;3;0;11;15;2007;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.8
545900.0;52.0;3;0;1;3;1960;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;10.5
478000.0;31.0;2;0;0;10;1975;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.0
630000.0;68.0;4;0;2;3;1935;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;8.4
425000.0;27.0;1;0;4;4;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;9.6
515000.0;49.0;3;0;2;10;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.9
354000.0;38.04;1;0;1;3;1985;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;16.4
695000.0;54.7;2;0;8;9;1965;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;12.7
647000.0;55.0;3;0;5;10;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.1
619900.0;50.73;3;1;10;12;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;12.0
599000.0;49.7;2;0;4;4;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;16.4
479000.0;86.0;4;0;1;2;1920;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;11.5
520000.0;51.0;3;0;4;4;1963;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;6.2
