Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
418950.0;49.03;2;1;2;4.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.4
450000.0;57.76;3;0;1;2.0;2014.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;14.4
669000.0;67.0;3;0;3;3.0;2009.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.7
950000.0;89.0;3;0;1;2.0;2009.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;7.0
660000.0;83.0;4;0;3;4.0;2000.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.8
449000.0;57.0;2;0;4;4.0;1930.0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.1
660000.0;63.0;3;0;1;2.0;2013.0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.2
497640.0;63.8;3;1;1;3.0;2022.0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8.6
504020.0;63.8;3;1;0;3.0;2022.0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8.6
439691.0;54.35;3;1;2;4.0;2021.0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8.6
550001.0;52.3;2;0;3;4.0;1980.0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;50.0
392301.0;47.9;2;1;1;4.0;2021.0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8.6
478150.0;67.44;3;1;3;4.0;2021.0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8.6
292500.0;32.4;2;0;10;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;9.9
459000.0;44.0;2;1;1;9.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;50.0
414000.0;38.0;2;1;1;9.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;50.0
634000.0;54.0;3;1;6;8.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;50.0
799000.0;80.0;4;1;7;8.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;50.0
1039000.0;87.5;4;1;7;8.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;50.0
679000.0;71.0;3;1;3;4.0;2021.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;5.8
495000.0;54.5;3;0;1;2.0;1930.0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5.8
588000.0;52.0;2;0;1;4.0;2010.0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;50.0
615000.0;69.81;4;0;1;4.0;1910.0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.2
