Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
520000.0;51.9;2;0;1;3;2004;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;15.6
485000.0;47.0;2;0;3;3;1950;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;4.3
600000.0;87.0;3;0;4;4;2009;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;37.8
549000.0;49.5;2;0;8;9;1979;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;8.9
824000.0;69.27;3;0;2;4;2008;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.0
735000.0;70.0;4;0;2;5;2008;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;18.7
1050000.0;50.51;2;1;4;4;2020;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;12.9
950000.0;100.0;4;0;0;2;2012;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;11.3
614000.0;41.0;2;0;2;4;1955;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.8
1099000.0;73.5;3;0;7;10;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.9
510000.0;47.0;2;0;4;12;1989;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;16.0
1250000.0;86.24;4;0;4;4;2016;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;17.4
736000.0;65.94;3;0;5;5;2015;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;9.5
596000.0;47.2;2;0;2;10;1977;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;10.2
461000.0;48.5;3;0;4;4;1967;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;15.0
519000.0;39.0;2;0;11;15;1976;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1.1
580000.0;51.2;2;0;0;4;2000;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;9.6
885000.0;64.0;3;0;2;2;1960;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;8.0
900000.0;45.0;2;0;6;8;2006;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.9
799000.0;64.5;3;0;1;6;2016;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;10.2
490000.0;87.3;4;1;0;1;2021;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;18.3
490000.0;38.0;2;0;4;4;1964;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.1
585000.0;45.27;2;0;1;10;1974;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.7
329000.0;38.5;2;0;3;3;2014;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;38.6
295000.0;30.86;1;0;4;4;1988;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;27.2
415000.0;53.0;3;0;3;10;1975;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;13.5
775000.0;86.05;4;0;1;7;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.5
980000.0;82.7;3;0;0;4;1995;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;5.3
489000.0;51.46;3;1;1;6;2020;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;27.0
823000.0;65.0;3;0;3;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.5
295000.0;46.18;2;1;2;3;2023;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;43.3
1750000.0;85.0;4;0;2;3;2016;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.9
640000.0;85.75;3;0;1;3;2001;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;20.0
930000.0;66.5;3;0;7;8;1993;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.5
599000.0;49.32;2;0;0;3;1958;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.8
630000.0;63.0;3;0;4;4;2001;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;15.6
995000.0;43.77;2;0;5;22;2009;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;5.1
660000.0;34.0;2;0;6;7;2020;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.0
385000.0;55.56;3;0;4;4;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;18.5
435000.0;38.0;2;0;6;11;1985;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;13.4
849000.0;74.0;4;0;3;4;1986;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;16.4
560000.0;37.0;2;0;0;10;1967;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.8
650000.0;49.54;4;0;2;4;1963;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.2
469000.0;38.0;2;0;7;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.9
649000.0;34.0;1;0;7;12;2019;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.2
699000.0;35.0;2;0;5;12;2019;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.2
699000.0;35.0;2;0;3;12;2019;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.2
699000.0;35.0;2;0;4;12;2019;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.3
699000.0;35.0;2;0;1;12;2019;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.2
699000.0;35.0;2;0;2;12;2019;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.2
699000.0;35.0;1;0;9;12;2019;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.2
1050000.0;85.0;3;0;0;1;2014;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;11.0
1900000.0;114.0;4;0;3;3;1784;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.3
1523900.0;95.25;3;0;1;3;1935;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.8
835000.0;62.5;3;0;0;4;1992;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4.2
649000.0;51.5;2;0;2;4;1958;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.6
599000.0;48.0;2;0;8;10;1984;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;10.3
899000.0;70.0;2;0;0;4;1928;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;3.2
1389000.0;132.0;5;0;1;5;2001;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;6.3
1499000.0;158.0;5;0;11;13;1977;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;7.3
1169000.0;130.0;4;0;3;3;2010;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;18.5
940000.0;93.0;4;0;3;5;1978;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;6.0
435000.0;44.0;2;0;2;3;2016;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;17.9
415000.0;35.99;1;0;1;7;2014;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;10.2
564950.0;49.55;2;1;0;5;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.5
331500.0;48.05;2;0;2;2;1952;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;23.5
990000.0;69.2;3;0;1;4;2013;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;11.1
620000.0;57.1;3;0;8;15;1983;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.3
520000.0;49.14;2;0;0;4;2010;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;15.4
799900.0;73.4;3;0;0;7;2010;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;15.5
780000.0;54.8;2;0;2;8;2000;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.4
543000.0;50.5;2;0;1;16;1982;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;6.5
565000.0;57.0;3;0;0;15;1977;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;7.3
495000.0;39.3;2;0;2;10;1968;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3.7
470000.0;42.4;2;0;8;8;1982;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;11.8
395000.0;31.0;1;0;1;3;1952;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3.7
499900.0;35.83;2;0;1;4;1968;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.5
452000.0;29.0;1;0;2;7;2020;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;5.7
1150000.0;70.9;3;0;5;7;2007;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.9
433000.0;41.25;2;0;0;5;2001;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;15.0
869000.0;65.5;3;0;2;4;1994;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;12.6
584100.0;53.1;2;0;11;12;1978;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;10.4
550000.0;47.73;2;0;7;9;1970;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1.7
499000.0;64.0;3;0;5;12;1985;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;16.0
409000.0;40.5;2;0;0;2;2010;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;15.9
1050000.0;62.45;3;0;1;3;1937;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.5
540000.0;55.0;3;0;0;10;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;13.5
649000.0;58.3;3;1;3;4;2022;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;12.3
1035000.0;69.0;3;0;1;4;1976;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
639000.0;62.5;3;0;3;3;2015;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;20.8
1040580.0;77.0;3;1;2;4;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;6.3
818000.0;74.37;4;1;1;4;2022;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;11.0
1400000.0;110.0;4;0;3;16;2004;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.4
565000.0;53.6;2;0;6;13;2001;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.5
1350000.0;93.4;3;0;2;2;2009;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;12.9
490000.0;65.2;3;0;1;4;2003;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;7.7
631000.0;58.0;3;0;5;8;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;18.4
899000.0;72.2;3;0;4;4;2017;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;11.1
485185.0;42.19;2;0;4;6;2013;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;17.9
709000.0;53.0;3;0;1;4;1953;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;13.7
785000.0;44.1;2;0;8;8;2020;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.0
1250000.0;86.0;4;0;2;4;1998;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.7
1080000.0;65.0;2;0;2;8;2006;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;14.1
541000.0;49.6;3;0;3;6;2011;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;13.9
595000.0;69.37;3;0;1;2;2008;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;23.6
405000.0;35.56;2;0;3;4;1959;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.7
717000.0;55.67;3;1;6;7;2020;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;9.0
