Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
275000.0;61.5;3;0;4;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;48.3
280000.0;61.54;3;0;0;4.0;1982.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12.5
239000.0;52.98;3;0;2;4.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;11.7
289000.0;60.0;3;0;2;4.0;1993.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;14.0
607000.0;74.01;4;1;2;2.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
531000.0;67.15;4;1;1;2.0;2022.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
315000.0;39.25;2;1;0;2.0;2023.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
285000.0;34.38;2;1;0;2.0;2023.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
330000.0;55.56;2;1;2;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;9.9
330000.0;55.56;2;1;2;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;9.9
550000.0;122.07;4;1;0;1.0;2022.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.5
550000.0;122.07;4;1;0;1.0;2022.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.5
550000.0;122.07;4;1;0;1.0;2022.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.5
549000.0;62.0;3;1;1;17.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;5.4
179800.0;35.0;1;0;2;6.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;10.3
319000.0;63.92;3;1;0;1.0;2020.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;32.9
320000.0;63.0;3;0;3;4.0;2000.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;9.4
279000.0;51.0;3;0;7;10.0;1975.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;9.8
600000.0;85.13;4;1;2;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;4.9
580000.0;51.0;2;0;0;3.0;2017.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;8.9
465000.0;62.48;3;1;1;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;4.9
401000.0;57.72;2;1;1;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;4.9
378000.0;53.72;2;1;3;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;4.9
384000.0;49.64;3;1;5;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;4.9
275000.0;61.73;3;0;10;10.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;6.7
149000.0;20.0;1;0;1;2.0;1908.0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;7.6
427548.0;64.78;3;1;3;5.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;23.6
611911.0;91.33;4;1;4;5.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;23.6
493884.0;72.63;4;1;5;5.0;2023.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;23.6
350000.0;47.0;2;1;2;2.0;2022.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;20.2
169000.0;31.74;1;0;0;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;17.0
315000.0;63.9;3;0;3;4.0;1984.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;15.0
129000.0;27.0;2;0;2;4.0;1960.0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;22.0
409000.0;46.0;2;0;3;4.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;10.9
527760.0;65.97;3;0;2;7.0;1958.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1.7
192000.0;51.42;3;0;4;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;11.7
348000.0;62.0;3;0;7;24.0;1980.0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1.4
285000.0;63.0;3;0;6;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;17.0
