Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
540619.8;79.6;4;1;5;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
575000.0;97.0;4;0;3;4;2004;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4.3
386537.52;60.04;2;1;2;3;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0.0
357348.96;56.48;2;1;0;3;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0.0
399000.0;70.51;3;1;0;1;2020;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;2.0
276500.0;37.5;2;1;3;4;2020;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2.5
339000.0;53.0;3;0;3;4;1974;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;6.2
491026.26;76.27;3;1;2;3;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0.0
455144.4;68.34;3;1;2;3;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.7
328687.65;51.95;2;0;0;3;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0.0
316620.84;49.18;2;1;2;3;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.7
285000.0;39.0;2;0;7;10;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;6.2
312148.0;42.76;3;1;2;7;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
275028.0;33.54;2;1;2;7;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
500354.0;76.39;4;1;2;7;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
360635.0;51.89;3;1;3;7;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
477935.5;71.87;3;1;1;4;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.0
486048.0;73.09;4;1;2;7;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.0
