Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Rok budowy;Liczba pięter;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
305067.0;27.9;1;1;0;2021;7;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
295000.0;42.5;2;0;3;1980;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.3
310000.0;45.4;2;0;4;1970;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.8
319000.0;61.0;3;0;10;1985;11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;16.4
472500.0;45.0;2;0;5;2016;8;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.2
630000.0;81.65;3;0;2;2008;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.4
345000.0;50.04;2;0;0;1980;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.4
462000.0;57.0;2;0;1;2009;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.0
478000.0;92.76;3;0;2;1940;4;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1.9
295000.0;49.8;3;0;9;1975;10;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;4.1
420000.0;34.07;2;0;0;2020;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1.6
