Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
299000.0;29.0;1;0;3;5.0;1956.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.1
495000.0;41.5;2;0;0;2.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.5
479000.0;48.8;2;0;1;2.0;1937.0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;4.6
335000.0;50.2;2;0;3;4.0;1955.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;3.3
489000.0;74.0;3;0;0;4.0;1908.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
1039830.0;94.53;3;0;4;6.0;2020.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;2.7
439000.0;74.1;3;0;2;11.0;1985.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4.5
429000.0;46.41;2;0;2;5.0;2012.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.3
480000.0;60.0;2;0;4;5.0;1903.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1.8
520000.0;61.6;3;0;4;4.0;1930.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;3.4
349000.0;31.0;1;0;2;3.0;1908.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;2.9
402000.0;46.43;2;1;1;5.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.5
399000.0;46.78;2;1;0;5.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.5
399000.0;46.92;2;1;1;5.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.5
519000.0;65.32;3;0;0;3.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.9
509980.0;59.3;2;0;1;5.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
550000.0;41.5;2;0;4;4.0;2015.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.9
420000.0;72.7;2;0;0;3.0;1932.0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;5.1
507000.0;59.76;3;1;1;5.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
321111.0;27.0;1;0;5;6.0;2015.0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;4.7
432000.0;47.97;2;1;1;5.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
499000.0;53.0;3;0;5;5.0;1955.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
499000.0;43.7;2;0;4;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.6
499000.0;68.9;3;0;3;5.0;1995.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.4
495096.0;58.94;4;1;1;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
475376.0;54.02;3;1;2;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
312000.0;38.0;2;0;2;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.0
473448.0;46.19;3;1;5;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
378944.0;39.68;2;1;4;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
330476.0;31.93;1;1;2;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
