Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
405450.0;51.0;3;1;0;1.0;2022.0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;5.7
470440.8;53.52;3;1;3;5.0;2020.0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.0
499000.0;82.8;4;1;1;1.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;5.6
596614.8;64.92;3;1;4;5.0;2020.0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.0
593429.9;66.01;3;1;2;5.0;2020.0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.0
358300.0;58.2;3;1;3;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.4
383391.0;62.34;3;1;5;6.0;2020.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.2
380000.0;43.57;2;0;3;8.0;2014.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3.8
403320.0;61.08;3;1;6;6.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1.2
478670.5;109.01;4;1;1;2.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.2
259505.0;36.55;2;1;0;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
438834.0;66.49;3;1;0;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
395784.0;57.36;3;1;0;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
269220.0;38.46;2;1;0;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
415000.0;58.8;3;0;2;4.0;1978.0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1.2
308000.0;47.3;2;0;10;10.0;1993.0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;3.9
259350.0;33.25;1;1;2;4.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;5.6
454509.0;45.91;3;1;6;12.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;21.6
611030.0;62.35;3;1;8;12.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;21.6
375000.0;51.51;2;0;3;4.0;1963.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0.7
314720.0;56.2;3;1;4;7.0;2021.0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.5
339000.0;61.62;3;1;1;1.0;2020.0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8.1
280500.0;37.4;2;1;0;3.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.3
344000.0;44.62;2;1;1;10.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;37.3
309820.0;47.7;3;1;1;4.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;7.4
390000.0;74.0;4;1;1;1.0;2021.0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;9.9
420900.0;61.0;4;1;0;1.0;2021.0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1.2
255710.0;39.34;2;1;0;4.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.2
237402.0;35.97;2;1;0;4.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.2
235336.0;25.58;1;1;4;8.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1.2
340740.0;56.79;3;1;0;4.0;2022.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;5.2
385000.0;50.0;2;0;0;2.0;2012.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.2
315187.0;51.67;2;1;2;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
528840.0;88.14;4;1;4;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
349774.0;57.34;3;1;1;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
392291.0;66.49;3;1;1;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
297472.0;46.48;2;1;1;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
394440.0;65.74;3;1;1;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
410000.0;36.0;2;0;4;17.0;2020.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;13.0
362200.0;58.8;4;1;2;4.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.2
279675.0;37.29;2;1;2;3.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;5.7
474000.0;68.7;3;0;3;11.0;2012.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.6
263846.0;39.38;2;1;2;4.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.9
310700.0;47.8;3;1;4;4.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.9
570000.0;72.08;4;0;5;7.0;2014.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.6
375000.0;54.3;3;1;0;1.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;3.5
519000.0;60.0;3;1;7;7.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1.2
377500.0;47.17;3;1;3;10.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;37.3
