Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
367000.0;45.98;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
415700.0;51.91;3;1;1;2;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
299000.0;75.0;2;0;3;3;1975;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;32.7
285675.0;40.0;2;1;1;5;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;21.5
415425.0;56.0;3;1;5;5;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;21.5
419475.0;56.0;3;1;1;5;2023;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;21.5
392544.0;67.68;4;1;3;3;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;38.4
350378.0;60.41;3;1;3;3;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;38.4
201960.0;33.66;2;1;4;3;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;38.4
270000.0;54.39;3;0;4;4;1985;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;14.1
325000.0;44.0;2;0;4;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;24.9
272000.0;46.5;3;0;1;4;1972;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3.9
292842.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
384144.0;80.03;4;1;1;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
336226.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
285000.0;63.0;3;0;6;11;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;22.1
330000.0;53.85;3;0;2;4;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;33.4
590000.0;77.4;3;0;1;2;2010;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;36.0
315000.0;58.75;3;0;0;4;1982;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.4
429000.0;67.0;3;1;0;1;2021;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;31.3
280000.0;46.0;2;0;1;3;1960;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;35.5
259950.0;35.35;1;0;0;4;1982;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;34.8
321500.0;63.31;3;0;5;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;14.1
515000.0;67.57;3;0;2;4;2011;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;56.2
199000.0;60.26;2;0;2;2;1930;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;7.2
179000.0;38.0;2;0;3;4;1965;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;18.7
529900.0;68.0;3;0;3;3;2015;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;24.6
